orp	nouze_rodiny	nouze_osoby	nouze_deti	ubyt_rodiny	ubyt_osoby	ubyt_deti	azyl_rodiny	azyl_osoby	azyl_deti	bezdom
Aš (Karlovarský kraj)	22	184	42	3	77	3	4	15	9	28
Benešov (Středočeský kraj)	23	191	47	2	78	2	0	7	0	20
Beroun (Středočeský kraj)	28	238	53	0	77	0	8	29	13	42
Bílina (Ústecký kraj)	0	49	0	0	41	0	0	0	0	7
Bílovec (Moravskoslezský kraj)	34	225	73	8	81	20	1	5	3	39
Blansko (Jihomoravský kraj)	18	120	40	2	26	2	3	17	12	7
Blatná (Jihočeský kraj)	4	24	6	0	0	0	0	0	0	6
Blovice (Plzeňský kraj)	7	41	14	0	0	0	2	7	4	13
Bohumín (Moravskoslezský kraj)	49	361	103	2	118	3	0	0	0	50
Boskovice (Jihomoravský kraj)	27	250	62	0	113	0	7	28	19	24
Brandýs nad Labem-Stará Boleslav (Středočeský kraj)	30	224	62	2	57	5	1	8	1	46
Brno (Jihomoravský kraj)	571	3553	1233	198	1681	452	69	390	137	245
Broumov (Královéhradecký kraj)	21	155	42	0	47	0	0	0	0	28
Bruntál (Moravskoslezský kraj)	59	420	120	12	98	22	3	49	8	64
Břeclav (Jihomoravský kraj)	42	318	79	5	57	7	11	74	21	85
Bučovice (Jihomoravský kraj)	5	39	13	0	11	0	0	2	0	4
Bystřice nad Pernštejnem (Vysočina)	8	55	18	0	8	0	0	0	0	11
Bystřice pod Hostýnem (Zlínský kraj)	6	42	13	0	6	0	0	2	0	11
Čáslav (Středočeský kraj)	22	130	46	10	58	20	0	0	0	20
Černošice (Středočeský kraj)	26	254	49	7	99	10	1	8	1	53
Česká Lípa (Liberecký kraj)	109	630	258	28	233	72	13	75	42	50
Česká Třebová (Pardubický kraj)	13	76	28	0	0	0	0	0	0	22
České Budějovice (Jihočeský kraj)	104	571	226	45	251	100	9	61	20	57
Český Brod (Středočeský kraj)	10	90	18	5	55	7	0	2	0	13
Český Krumlov (Jihočeský kraj)	50	316	98	17	121	30	4	14	8	68
Český Těšín (Moravskoslezský kraj)	35	317	69	0	22	0	7	34	10	149
Dačice (Jihočeský kraj)	10	69	28	0	0	0	4	21	16	18
Děčín (Ústecký kraj)	97	589	206	0	41	0	6	35	13	105
Dobruška (Královéhradecký kraj)	9	57	18	3	23	5	0	0	0	9
Dobříš (Středočeský kraj)	27	210	62	3	35	3	9	32	20	59
Domažlice (Plzeňský kraj)	8	78	13	0	0	0	4	22	6	41
Dvůr Králové nad Labem (Královéhradecký kraj)	18	119	35	2	20	2	0	9	0	26
Frenštát pod Radhoštěm (Moravskoslezský kraj)	6	103	12	0	63	0	0	0	0	17
Frýdek-Místek (Moravskoslezský kraj)	94	679	196	10	135	20	4	65	8	155
Frýdlant (Liberecký kraj)	23	195	49	0	17	0	0	0	0	83
Frýdlant nad Ostravicí (Moravskoslezský kraj)	5	60	11	0	28	0	0	0	0	6
Havířov (Moravskoslezský kraj)	202	1254	433	5	253	10	12	102	27	134
Havlíčkův Brod (Vysočina)	15	93	32	0	19	0	2	6	3	15
Hlavní město Praha (Hlavní město Praha)	536	12103	1110	140	1812	295	63	583	129	8164
Hlinsko (Pardubický kraj)	12	53	25	0	6	0	3	14	8	0
Hlučín (Moravskoslezský kraj)	20	103	39	0	6	0	6	19	8	18
Hodonín (Jihomoravský kraj)	63	533	125	27	330	50	8	39	16	50
Holešov (Zlínský kraj)	12	114	23	2	56	2	0	0	0	15
Holice (Pardubický kraj)	9	79	18	0	19	0	1	3	1	18
Horažďovice (Plzeňský kraj)	6	32	15	2	10	5	1	4	2	4
Horšovský Týn (Plzeňský kraj)	2	35	5	0	0	0	0	4	0	22
Hořice (Královéhradecký kraj)	5	25	10	0	0	0	0	0	0	6
Hořovice (Středočeský kraj)	16	110	37	3	21	8	2	14	8	35
Hradec Králové (Královéhradecký kraj)	126	825	264	38	342	77	14	90	38	107
Hranice (Olomoucký kraj)	48	332	111	25	146	55	11	79	31	28
Humpolec (Vysočina)	7	59	10	2	40	2	2	5	2	2
Hustopeče (Jihomoravský kraj)	4	29	8	0	0	0	0	0	0	13
Cheb (Karlovarský kraj)	36	205	72	0	17	0	6	31	9	35
Chomutov (Ústecký kraj)	154	1054	322	27	393	55	8	63	16	116
Chotěboř (Vysočina)	8	52	17	0	14	0	0	0	0	7
Chrudim (Pardubický kraj)	83	478	177	33	173	73	7	28	16	111
Ivančice (Jihomoravský kraj)	13	97	28	5	46	12	0	0	0	20
Jablonec nad Nisou (Liberecký kraj)	72	408	147	7	99	10	0	9	0	46
Jablunkov (Moravskoslezský kraj)	4	34	8	0	0	0	0	2	0	17
Jaroměř (Královéhradecký kraj)	16	126	33	0	25	0	0	0	0	41
Jeseník (Olomoucký kraj)	60	390	136	0	58	0	17	109	44	46
Jičín (Královéhradecký kraj)	22	181	42	3	66	3	2	9	4	39
Jihlava (Vysočina)	49	417	112	22	267	52	1	29	6	15
Jilemnice (Liberecký kraj)	5	54	11	0	25	0	0	0	0	7
Jindřichův Hradec (Jihočeský kraj)	26	174	54	2	29	5	7	22	13	55
Kadaň (Ústecký kraj)	62	405	130	8	57	18	3	31	7	118
Kaplice (Jihočeský kraj)	14	187	26	3	52	3	0	0	0	13
Karlovy Vary (Karlovarský kraj)	98	845	208	43	375	87	3	47	10	216
Karviná (Moravskoslezský kraj)	231	1512	517	53	503	105	24	178	74	197
Kladno (Středočeský kraj)	219	1443	542	98	710	277	9	47	24	238
Klatovy (Plzeňský kraj)	28	176	58	5	16	7	9	43	22	50
Kolín (Středočeský kraj)	139	753	300	93	529	202	0	0	0	42
Konice (Olomoucký kraj)	5	22	9	0	0	0	0	0	0	2
Kopřivnice (Moravskoslezský kraj)	35	304	70	8	96	13	0	26	0	70
Kostelec nad Orlicí (Královéhradecký kraj)	17	122	36	2	54	5	0	0	0	11
Králíky (Pardubický kraj)	11	61	23	7	39	13	0	0	0	4
Kralovice (Plzeňský kraj)	9	54	19	0	6	0	0	0	0	11
Kralupy nad Vltavou (Středočeský kraj)	22	131	47	0	25	0	4	16	10	11
Kraslice (Karlovarský kraj)	14	144	30	3	46	8	0	2	0	55
Kravaře (Moravskoslezský kraj)	6	68	13	0	39	0	0	0	0	2
Krnov (Moravskoslezský kraj)	69	658	145	8	221	12	4	72	14	140
Kroměříž (Zlínský kraj)	56	431	122	5	156	7	11	91	32	20
Kuřim (Jihomoravský kraj)	0	32	0	0	6	0	0	0	0	24
Kutná Hora (Středočeský kraj)	53	317	139	38	217	108	0	0	0	42
Kyjov (Jihomoravský kraj)	18	239	36	2	146	3	2	6	3	29
Lanškroun (Pardubický kraj)	5	46	11	0	3	0	0	0	0	22
Liberec (Liberecký kraj)	142	1060	308	33	344	80	6	36	10	245
Lipník nad Bečvou (Olomoucký kraj)	20	120	50	0	6	0	12	55	33	26
Litoměřice (Ústecký kraj)	87	555	175	38	264	65	14	98	39	42
Litomyšl (Pardubický kraj)	5	77	10	0	44	0	0	0	0	13
